Title,Volume,Writer,Artist
JoJo's Bizarre Adventure,Golden Wind 4,Hirohiko Araki,Hirohiko Araki
JoJo's Bizarre Adventure,Golden Wind 5,Hirohiko Araki,Hirohiko Araki
JoJo's Bizarre Adventure,Golden Wind 6,Hirohiko Araki,Hirohiko Araki
JoJo's Bizarre Adventure,Golden Wind 7,Hirohiko Araki,Hirohiko Araki
JoJo's Bizarre Adventure,Golden Wind 8,Hirohiko Araki,Hirohiko Araki
JoJo's Bizarre Adventure,Golden Wind 9,Hirohiko Araki,Hirohiko Araki
Monster,1,Naoki Urasawa,Naoki Urasawa
Monster,2,Naoki Urasawa,Naoki Urasawa
Monster,3,Naoki Urasawa,Naoki Urasawa
Monster,4,Naoki Urasawa,Naoki Urasawa
Monster,5,Naoki Urasawa,Naoki Urasawa
Monster,6,Naoki Urasawa,Naoki Urasawa
Monster,7,Naoki Urasawa,Naoki Urasawa
Monster,8,Naoki Urasawa,Naoki Urasawa
Monster,9,Naoki Urasawa,Naoki Urasawa
Preacher,Gone To Texas,Garth Ennis,Steve Dillon
Preacher,Until The End Of The World,Garth Ennis,Steve Dillon
Preacher,Proud Americans,Garth Ennis,Steve Dillon
Preacher,Ancient History,Garth Ennis,Steve Dillon
Preacher,Dixie Fried,Garth Ennis,Steve Dillon
Preacher,War In The Sun,Garth Ennis,Steve Dillon
Preacher,Salvation,Garth Ennis,Steve Dillon
Preacher,All Hell A-Comin,Garth Ennis,Steve Dillon
Preacher,Alamo,Garth Ennis,Steve Dillon
Punisher,In The Beginning,Garth Ennis,Lewis Larosa
Punisher,"Up Is Down, Black Is White",Garth Ennis,Leandro Fernandez
Punisher,The Slavers,Garth Ennis,Leandro Fernandez
Punisher,"Welcome Back, Frank",Garth Ennis,Steve Dillon
Punisher,Born,Garth Ennis,Darick Robertson
Saga,1,Brian K. Vaughan,Fiona Staples
Saga,2,Brian K. Vaughan,Fiona Staples
Saga,3,Brian K. Vaughan,Fiona Staples
Saga,4,Brian K. Vaughan,Fiona Staples
Saga,5,Brian K. Vaughan,Fiona Staples
Saga,6,Brian K. Vaughan,Fiona Staples
Saga,7,Brian K. Vaughan,Fiona Staples
Saga,8,Brian K. Vaughan,Fiona Staples
Saga,9,Brian K. Vaughan,Fiona Staples
Saga,10,Brian K. Vaughan,Fiona Staples
Saga,11,Brian K. Vaughan,Fiona Staples
Test Comic,1,Test Writer,Test Artist
Hulk,Grey,Jeff Loeb,Tim Sale
Once and Future,The King Is Undead,Kieron Gillen,Dan Mora
Once and Future,Old English,Kieron Gillen,Dan Mora
